wordID,userID,condition,block,score
inhoud,R_RKX6uClkalzSL5L,C,6,0
donderdag,R_RKX6uClkalzSL5L,C,4,1
donderdag,R_RKX6uClkalzSL5L,C,5,0
donderdag,R_RKX6uClkalzSL5L,C,6,0
dinsdag,R_RKX6uClkalzSL5L,C,4,1
dinsdag,R_RKX6uClkalzSL5L,C,5,0
dinsdag,R_RKX6uClkalzSL5L,C,6,1
schoonheidssalon,R_RKX6uClkalzSL5L,C,4,0
schoonheidssalon,R_RKX6uClkalzSL5L,C,5,0
schoonheidssalon,R_RKX6uClkalzSL5L,C,6,1
badkamer,R_RKX6uClkalzSL5L,C,4,0
badkamer,R_RKX6uClkalzSL5L,C,5,0
badkamer,R_RKX6uClkalzSL5L,C,6,1
rest,R_RKX6uClkalzSL5L,NC,4,0
rest,R_RKX6uClkalzSL5L,NC,5,1
rest,R_RKX6uClkalzSL5L,NC,6,1
klimaat,R_RKX6uClkalzSL5L,NC,4,0
klimaat,R_RKX6uClkalzSL5L,NC,5,1
klimaat,R_RKX6uClkalzSL5L,NC,6,1
vuur,R_RKX6uClkalzSL5L,NC,4,1
vuur,R_RKX6uClkalzSL5L,NC,5,1
vuur,R_RKX6uClkalzSL5L,NC,6,1
gebed,R_RKX6uClkalzSL5L,NC,4,1
gebed,R_RKX6uClkalzSL5L,NC,5,1
gebed,R_RKX6uClkalzSL5L,NC,6,1
energie,R_RKX6uClkalzSL5L,NC,4,0
energie,R_RKX6uClkalzSL5L,NC,5,1
energie,R_RKX6uClkalzSL5L,NC,6,1
omstandigheden,R_RKX6uClkalzSL5L,C,4,0
omstandigheden,R_RKX6uClkalzSL5L,C,5,1
omstandigheden,R_RKX6uClkalzSL5L,C,6,1
liefde,R_RKX6uClkalzSL5L,C,4,0
liefde,R_RKX6uClkalzSL5L,C,5,1
liefde,R_RKX6uClkalzSL5L,C,6,1
baas,R_RKX6uClkalzSL5L,C,4,0
baas,R_RKX6uClkalzSL5L,C,5,1
baas,R_RKX6uClkalzSL5L,C,6,0
burgemeester,R_RKX6uClkalzSL5L,C,4,1
burgemeester,R_RKX6uClkalzSL5L,C,5,1
burgemeester,R_RKX6uClkalzSL5L,C,6,1
suiker,R_RKX6uClkalzSL5L,C,4,0
suiker,R_RKX6uClkalzSL5L,C,5,0
suiker,R_RKX6uClkalzSL5L,C,6,1
afbeelding,R_RKX6uClkalzSL5L,NC,4,1
afbeelding,R_RKX6uClkalzSL5L,NC,5,1
afbeelding,R_RKX6uClkalzSL5L,NC,6,1
water,R_RKX6uClkalzSL5L,NC,4,1
water,R_RKX6uClkalzSL5L,NC,5,1
water,R_RKX6uClkalzSL5L,NC,6,1
trein,R_RKX6uClkalzSL5L,NC,4,1
trein,R_RKX6uClkalzSL5L,NC,5,1
trein,R_RKX6uClkalzSL5L,NC,6,1
honing,R_RKX6uClkalzSL5L,NC,4,0
honing,R_RKX6uClkalzSL5L,NC,5,1
honing,R_RKX6uClkalzSL5L,NC,6,1
kans,R_RKX6uClkalzSL5L,NC,4,0
kans,R_RKX6uClkalzSL5L,NC,5,0
kans,R_RKX6uClkalzSL5L,NC,6,1
deur,R_RKX6uClkalzSL5L,C,4,0
deur,R_RKX6uClkalzSL5L,C,5,0
deur,R_RKX6uClkalzSL5L,C,6,1
geluk,R_RKX6uClkalzSL5L,C,4,1
geluk,R_RKX6uClkalzSL5L,C,5,0
geluk,R_RKX6uClkalzSL5L,C,6,1
katoen,R_RKX6uClkalzSL5L,C,4,1
katoen,R_RKX6uClkalzSL5L,C,5,1
katoen,R_RKX6uClkalzSL5L,C,6,1
ogen,R_RKX6uClkalzSL5L,C,4,1
ogen,R_RKX6uClkalzSL5L,C,5,1
ogen,R_RKX6uClkalzSL5L,C,6,1
minuut,R_RKX6uClkalzSL5L,C,4,0
minuut,R_RKX6uClkalzSL5L,C,5,1
minuut,R_RKX6uClkalzSL5L,C,6,1
bericht,R_RKX6uClkalzSL5L,NC,4,0
bericht,R_RKX6uClkalzSL5L,NC,5,1
